Topology,ExitCode,TotalTime,nbPaths,Nodes,Edges,maxPaths,percentagePaths
Aarnet,0,0.074,5161,19,48,99180,5.203670094777173%
Abilene,0,0.036,1628,11,28,9020,18.048780487804876%
Abvt,0,0.26,35081,23,62,223652,15.685529304455137%
Aconet,0,0.229,31534,23,62,223652,14.09958328116896%
Agis,0,0.095,11322,25,60,318000,3.5603773584905656%
Ai3,0,0.02,90,10,18,5850,1.5384615384615385%
Airtel,0,0.066,7546,16,74,47280,15.960236886632826%
Amres,0,0.042,600,25,48,318000,0.18867924528301888%
Ans,0,0.178,21624,18,50,78642,27.496757457846954%
Arn,0,0.046,870,30,58,682950,0.12738853503184713%
Arnes,0,0.228,35843,34,94,1150050,3.1166471022999%
Arpanet196912,0,0.014,22,4,8,60,36.666666666666664%
Arpanet19706,0,0.02,180,9,20,3600,5.0%
Arpanet19719,0,0.077,7750,18,44,78642,9.854784974949773%
Arpanet19723,0,0.121,12332,25,56,318000,3.8779874213836476%
Arpanet19728,0,0.42,50200,29,64,592760,8.468857547742763%
AsnetAm,0,0.934,149185,65,158,16515200,0.9033193664018601%
Atmnet,0,0.058,3348,21,44,152040,2.202052091554854%
AttMpls,0,2.381,164337,25,114,318000,51.678301886792454%
Azrena,0,0.036,462,22,50,185262,0.24937655860349126%
Bandcon,0,0.129,16824,21,56,152040,11.0655090765588%
Basnet,0,0.017,42,7,12,1092,3.8461538461538463%
Bbnplanet,0,0.057,3344,27,56,439452,0.7609477258039559%
Bellcanada,0,2.452,270611,48,130,4775952,5.666116409880166%
Bellsouth,0,2.514,310517,51,132,6125100,5.06958253742796%
Belnet2003,0,0.194,31845,23,86,223652,14.23863859925241%
Belnet2004,0,0.197,31845,23,86,223652,14.23863859925241%
Belnet2005,0,0.189,29697,23,88,223652,13.278217945737127%
Belnet2006,0,0.198,29697,23,88,223652,13.278217945737127%
Belnet2007,0,0.114,11930,21,62,152040,7.846619310707709%
Belnet2008,0,0.124,11930,21,62,152040,7.846619310707709%
Belnet2009,0,0.126,11930,21,62,152040,7.846619310707709%
Belnet2010,0,0.098,9653,22,64,185262,5.210458701730522%
BeyondTheNetwork,0,2.23,256308,53,130,7171112,3.574173712528824%
Bics,0,1.746,146959,33,96,1015872,14.466291028791028%
Biznet,0,0.108,10080,29,66,592760,1.7005196032120924%
Bren,0,0.083,3200,37,76,1633032,0.1959545189561503%
BsonetEurope,0,0.113,11959,18,48,78642,15.206886905216042%
BtAsiaPac,0,0.176,23062,20,62,123500,18.673684210526314%
BtEurope,0,0.42,56317,24,74,267720,21.035783654564472%
BtLatinAmerica,0,0.206,20108,45,100,3663000,0.548948948948949%
BtNorthAmerica,0,23.252,769029,36,152,1457820,52.751985841873484%
Canerie,0,0.287,43671,32,82,893792,4.8860361247359565%
Carnet,0,0.072,1892,44,86,3339380,0.05665722379603399%
Cernet,0,0.146,11414,41,118,2496080,0.4572770103522323%
Cesnet1993,0,0.021,90,10,18,5850,1.5384615384615385%
Cesnet1997,0,0.028,156,13,24,19032,0.819672131147541%
Cesnet1999,0,0.024,156,13,24,19032,0.819672131147541%
Cesnet2001,0,0.036,506,23,46,223652,0.22624434389140274%
Cesnet200304,0,0.055,2832,29,66,592760,0.4777650313786355%
Cesnet200511,0,0.194,27305,39,88,2030340,1.3448486460395794%
Cesnet200603,0,0.184,27305,39,88,2030340,1.3448486460395794%
Cesnet200706,0,0.231,37687,44,102,3339380,1.128562787104193%
Cesnet201006,0,0.666,116613,52,126,6632652,1.758165512075713%
Chinanet,0,2.931,307328,42,132,2756922,11.147504354493888%
Claranet,0,0.039,1746,15,36,35700,4.890756302521009%
Cogentco,1,3600.148,-,197,490,1468259912,-
Colt,0,209.685,5044664,153,382,530283312,0.9513148699652083%
Columbus,0,11.892,812688,70,170,22338750,3.638019137149572%
Compuserve,0,0.048,3048,14,34,26390,11.549829480863965%
CrlNetworkServices,0,0.258,33737,33,76,1015872,3.3209892584892584%
Cudi,0,0.137,5348,51,104,6125100,0.08731286019820084%
Cwix,0,0.273,40528,36,82,1457820,2.7800414317268247%
Cynet,0,0.061,870,30,58,682950,0.12738853503184713%
Darkstrand,0,0.141,16679,28,62,511812,3.258813783186014%
Dataxchange,0,0.023,282,6,22,510,55.294117647058826%
Deltacom,0,3549.747,14421224,113,366,155947232,9.247502385935263%
DeutscheTelekom,0,1.58,143678,30,110,682950,21.03785050150084%
