Topology,DemandFile,ExitCode,PreprocessingTime,ILPTime,TotalTime,uMax
Aarnet,0000,0,0.112,0.292,0.404,0.9432922
Aarnet,0001,0,0.014,0.163,0.177,0.9335895
Aarnet,0002,0,0.01,0.156,0.166,0.9634366999999998
Aarnet,0003,0,0.011,0.167,0.178,0.9720654
Aarnet,0004,0,0.011,0.156,0.167,1.1249961
Abilene,0000,0,0.006,0.115,0.121,0.9000525454925411
Abilene,0001,0,0.006,0.076,0.082,0.900046718267747
Abilene,0002,0,0.007,0.123,0.13,0.9000396351755401
Abilene,0003,0,0.006,0.073,0.079,0.9000174314396862
Abilene,0004,0,0.006,0.149,0.155,0.9000644259982639
Abvt,0000,0,0.012,0.331,0.343,0.9000261666666667
Abvt,0001,0,0.013,0.357,0.37,0.8999703333333332
Abvt,0002,0,0.013,0.339,0.352,0.8999981666666668
Abvt,0003,0,0.013,0.31,0.323,0.9000456666666666
Abvt,0004,0,0.012,0.351,0.363,0.9000126666666666
Aconet,0000,0,0.012,0.315,0.327,0.900013962264151
Aconet,0001,0,0.012,0.294,0.306,0.9000201509433963
Aconet,0002,0,0.013,0.362,0.375,0.9000562264150943
Aconet,0003,0,0.013,0.305,0.318,0.9000615094339622
Aconet,0004,0,0.012,0.293,0.305,0.9000647547169811
Agis,0000,0,0.014,0.276,0.29,0.8997999999999999
Agis,0001,0,0.013,0.367,0.38,0.8997741935483871
Agis,0002,0,0.013,0.347,0.36,0.899711111111111
Agis,0003,0,0.029,0.603,0.632,0.8998
Agis,0004,0,0.013,0.291,0.304,0.8997354838709677
Ai3,0000,0,0.005,0.038,0.043,0.899993
Ai3,0001,0,0.005,0.039,0.044,0.899994
Ai3,0002,0,0.005,0.04,0.045,0.899992
Ai3,0003,0,0.005,0.038,0.043,0.899993
Ai3,0004,0,0.005,0.038,0.043,0.899991
Airtel,0000,0,0.009,0.373,0.382,0.9000336666666666
Airtel,0001,0,0.01,2.391,2.401,0.9000460999999997
Airtel,0002,0,0.01,0.352,0.362,0.899993
Airtel,0003,0,0.009,1.747,1.756,0.900037
Airtel,0004,0,0.01,0.333,0.343,0.9000679999999999
Amres,0000,0,0.013,0.247,0.26,0.899929
Amres,0001,0,0.013,0.194,0.207,0.899926
Amres,0002,0,0.013,0.194,0.207,0.899926
Amres,0003,0,0.012,0.181,0.193,0.899926
Amres,0004,0,0.013,0.191,0.204,0.899943
Ans,0000,0,0.01,0.769,0.779,0.8997722222222222
Ans,0001,0,0.011,0.899,0.91,0.8999111111111111
Ans,0002,0,0.01,0.893,0.903,0.8997777777777778
Ans,0003,0,0.01,0.268,0.278,0.8997277777777778
Ans,0004,0,0.01,0.784,0.794,0.8997472222222218
Arn,0000,0,0.015,0.226,0.241,0.8964583333333334
Arn,0001,0,0.016,0.243,0.259,0.89675
Arn,0002,0,0.016,0.249,0.265,0.8967916666666667
Arn,0003,0,0.015,0.23,0.245,0.8964583333333334
Arn,0004,0,0.016,0.24,0.256,0.8967916666666667
Arnes,0000,0,0.02,0.758,0.778,0.902592
Arnes,0001,0,0.02,0.649,0.669,0.905321
Arnes,0002,0,0.021,0.688,0.709,0.900753125
Arnes,0003,0,0.021,0.765,0.786,0.903266625
Arnes,0004,0,0.021,0.561,0.582,0.904454875
Arpanet196912,0000,0,0.005,0.028,0.033,0.962446
Arpanet196912,0001,0,0.004,0.027,0.031,1.132629
Arpanet196912,0002,0,0.005,0.028,0.033,0.923963
Arpanet196912,0003,0,0.005,0.027,0.032,0.961027
Arpanet196912,0004,0,0.005,0.027,0.032,1.208269
Arpanet19706,0000,0,0.005,0.037,0.042,0.899989
Arpanet19706,0001,0,0.005,0.04,0.045,0.899991
Arpanet19706,0002,0,0.006,0.039,0.045,0.899989
Arpanet19706,0003,0,0.006,0.039,0.045,0.8999909999999999
Arpanet19706,0004,0,0.005,0.035,0.04,0.899991
Arpanet19719,0000,0,0.01,0.219,0.229,0.8999912499999999
Arpanet19719,0001,0,0.009,0.168,0.177,0.900038
Arpanet19719,0002,0,0.01,0.233,0.243,0.900047
Arpanet19719,0003,0,0.009,0.175,0.184,0.900067
Arpanet19719,0004,0,0.01,0.183,0.193,0.9000405
Arpanet19723,0000,0,0.013,0.595,0.608,0.900035
Arpanet19723,0001,0,0.019,0.507,0.526,0.90002525
Arpanet19723,0002,0,0.022,0.404,0.426,0.89998925
Arpanet19723,0003,0,0.013,0.377,0.39,0.899966
Arpanet19723,0004,0,0.012,0.416,0.428,0.89998075
Arpanet19728,0000,0,0.017,1.298,1.315,0.900009
Arpanet19728,0001,0,0.017,1.013,1.03,0.8999855
Arpanet19728,0002,0,0.017,1.824,1.841,0.89999275
Arpanet19728,0003,0,0.016,1.153,1.169,0.90002025
Arpanet19728,0004,0,0.017,1.032,1.049,0.90003275
AsnetAm,0000,0,0.063,4.247,4.31,0.899725
AsnetAm,0001,0,0.063,4.498,4.561,0.899732
AsnetAm,0002,0,0.062,4.098,4.16,0.899717
AsnetAm,0003,0,0.064,4.215,4.279,0.899718
AsnetAm,0004,0,0.062,5.321,5.383,0.899862125
Atmnet,0000,0,0.011,0.253,0.264,0.8998548387096774
Atmnet,0001,0,0.012,0.541,0.553,0.8998967741935484
Atmnet,0002,0,0.011,0.321,0.332,0.8999
Atmnet,0003,0,0.011,0.218,0.229,0.8999322580645162
Atmnet,0004,0,0.012,0.218,0.23,0.8998935483870968
AttMpls,0000,0,0.015,142.354,142.369,0.9000771666666667
AttMpls,0001,0,0.023,220.292,220.315,0.9001031666666667
AttMpls,0002,0,0.021,5.209,5.23,0.9000588333333333
AttMpls,0003,0,0.014,8.457,8.471,0.90007225
AttMpls,0004,0,0.016,8.897,8.913,0.900024
Azrena,0000,0,0.013,0.14,0.153,0.89996
Azrena,0001,0,0.013,0.134,0.147,0.899949
Azrena,0002,0,0.013,0.136,0.149,0.899956
Azrena,0003,0,0.021,0.167,0.188,0.899946
Azrena,0004,0,0.012,0.203,0.215,0.899962
Bandcon,0000,0,0.012,0.304,0.316,0.8999876666666666
Bandcon,0001,0,0.014,0.29,0.304,0.900019
Bandcon,0002,0,0.012,0.258,0.27,0.8999805
Bandcon,0003,0,0.011,0.255,0.266,0.9000314166666666
Bandcon,0004,0,0.013,0.23,0.243,0.9000195
Basnet,0000,0,0.012,0.053,0.065,0.8997419354838709
Basnet,0001,0,0.005,0.028,0.033,0.8996129032258064
Basnet,0002,0,0.004,0.029,0.033,0.8996129032258064
Basnet,0003,0,0.005,0.029,0.034,0.8996129032258064
Basnet,0004,0,0.005,0.029,0.034,0.8997419354838709
Bbnplanet,0000,0,0.013,0.343,0.356,0.8990777777777778
Bbnplanet,0001,0,0.014,0.293,0.307,0.8991333333333333
Bbnplanet,0002,0,0.014,0.29,0.304,0.8989888888888887
Bbnplanet,0003,0,0.014,0.283,0.297,0.8989666666666667
Bbnplanet,0004,0,0.015,0.3,0.315,0.899
Bellcanada,0000,0,0.046,2.931,2.977,0.899876
Bellcanada,0001,0,0.04,3.258,3.298,0.899925
Bellcanada,0002,0,0.04,3.459,3.499,0.8998775
Bellcanada,0003,0,0.041,3.125,3.166,0.8998745
Bellcanada,0004,0,0.04,3.379,3.419,0.8998955
Bellsouth,0000,0,0.046,2.232,2.278,0.899881
Bellsouth,0001,0,0.046,2.292,2.338,0.899906
Bellsouth,0002,0,0.045,2.188,2.233,0.899886
Bellsouth,0003,0,0.045,2.175,2.22,0.899881
Bellsouth,0004,0,0.045,2.325,2.37,0.8999315
Belnet2003,0000,0,0.014,0.325,0.339,2.054439666666666
Belnet2003,0001,0,0.013,0.35,0.363,2.71246
Belnet2003,0002,0,0.013,0.343,0.356,2.5179169999999997
Belnet2003,0003,0,0.013,0.262,0.275,0.89999
Belnet2003,0004,0,0.012,0.367,0.379,2.41846
Belnet2004,0000,0,0.012,0.375,0.387,2.644662
Belnet2004,0001,0,0.013,0.585,0.598,1.1139236
Belnet2004,0002,0,0.013,2.592,2.605,2.0691312
Belnet2004,0003,0,0.014,0.321,0.335,1.8017483333333333
Belnet2004,0004,0,0.013,0.735,0.748,1.9748036666666664
Belnet2005,0000,0,0.013,0.574,0.587,1.0547176
Belnet2005,0001,0,0.013,0.573,0.586,0.9000764
Belnet2005,0002,0,0.013,0.743,0.756,0.90007824
Belnet2005,0003,0,0.013,0.434,0.447,0.9213883333333331
Belnet2005,0004,0,0.013,0.528,0.541,1.3781444
Belnet2006,0000,0,0.013,0.74,0.753,1.071694
Belnet2006,0001,0,0.013,0.361,0.374,3.5466366666666667
Belnet2006,0002,0,0.012,1.006,1.018,1.1322997
Belnet2006,0003,0,0.014,0.663,0.677,1.1730283333333333
Belnet2006,0004,0,0.013,0.454,0.467,0.9000836
Belnet2007,0000,0,0.011,0.263,0.274,0.8999904333333335
Belnet2007,0001,0,0.012,0.277,0.289,0.9000263333333332
Belnet2007,0002,0,0.012,0.314,0.326,0.900039
Belnet2007,0003,0,0.013,0.238,0.251,0.899989
Belnet2007,0004,0,0.011,0.228,0.239,0.899998
Belnet2008,0000,0,0.012,0.245,0.257,0.8999839999999996
Belnet2008,0001,0,0.012,0.222,0.234,0.8999883333333332
Belnet2008,0002,0,0.012,0.255,0.267,0.899989
Belnet2008,0003,0,0.012,0.362,0.374,0.8999892333333334
Belnet2008,0004,0,0.012,0.265,0.277,0.9000629999999998
Belnet2009,0000,0,0.013,0.29,0.303,0.900002
Belnet2009,0001,0,0.012,0.324,0.336,0.8999780000000001
Belnet2009,0002,0,0.012,0.308,0.32,0.900013
Belnet2009,0003,0,0.012,0.278,0.29,0.899983
Belnet2009,0004,0,0.012,0.267,0.279,0.8999989999999999
Belnet2010,0000,0,0.013,0.248,0.261,0.9000453333333333
Belnet2010,0001,0,0.013,0.267,0.28,0.8999989999999999
Belnet2010,0002,0,0.012,0.32,0.332,0.900038
Belnet2010,0003,0,0.013,0.256,0.269,0.900007
Belnet2010,0004,0,0.012,0.235,0.247,0.899988
BeyondTheNetwork,0000,0,0.049,3.703,3.752,0.90001075
BeyondTheNetwork,0001,0,0.049,3.609,3.658,0.8999852083333333
BeyondTheNetwork,0002,0,0.049,3.938,3.987,0.899972375
BeyondTheNetwork,0003,0,0.05,4.859,4.909,0.89996975
BeyondTheNetwork,0004,0,0.049,3.663,3.712,0.8999585
Bics,0000,0,0.021,1.192,1.213,0.8999775
Bics,0001,0,0.019,1.027,1.046,0.899956
Bics,0002,0,0.02,1.471,1.491,0.8999762916666668
Bics,0003,0,0.02,1.115,1.135,0.9000105
Bics,0004,0,0.021,1.016,1.037,0.8999778333333334
Biznet,0000,0,0.018,0.564,0.582,0.8999715
